breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan
Spanish Water Dog,https://www.dogbreedslist.info//all-dog-breeds/spanish-water-dog.html,#149,Yes,-,Prices: $1500 - $2500,Lifespan: 10-14 years
Briard,https://www.dogbreedslist.info//all-dog-breeds/briard.html,#150,No,30,Prices: $1500 - $3000,Lifespan: 10-12 years
Berger Picard,https://www.dogbreedslist.info//all-dog-breeds/berger-picard.html,#151,No,-,Prices: $2000 - $2500,Lifespan: 12-15 years
Entlebucher Mountain Dog,https://www.dogbreedslist.info//all-dog-breeds/entlebucher-mountain-dog.html,#152,No,-,Prices: $800 - $1500,Lifespan: 10-15 years
Treeing Walker Coonhound,https://www.dogbreedslist.info//all-dog-breeds/treeing-walker-coonhound.html,#153,No,-,Prices: $400 - $800,Lifespan: 12-13 years
Icelandic Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/icelandic-sheepdog.html,#154,No,-,Prices: $1000 - $1500,Lifespan: 12-15 years
Wirehaired Vizsla,https://www.dogbreedslist.info//all-dog-breeds/wirehaired-vizsla.html,#155,No,-,Prices: $1000 - $1500,Lifespan: 12-14 years
Pumi,https://www.dogbreedslist.info//all-dog-breeds/pumi.html,#156,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years
Portuguese Podengo Pequeno,https://www.dogbreedslist.info//all-dog-breeds/portuguese-podengo.html,#157,No,-,Prices: $1000 - $2500,Lifespan: 12-14 years
American Water Spaniel,https://www.dogbreedslist.info//all-dog-breeds/american-water-spaniel.html,#158,No,44,Prices: $1200 - $1500,Lifespan: 10-13 years
Curly-Coated Retriever,https://www.dogbreedslist.info//all-dog-breeds/curly-coated-retriever.html,#159,No,41,Prices: $1500 - $2500,Lifespan: 8-12 years
Field Spaniel,https://www.dogbreedslist.info//all-dog-breeds/field-spaniel.html,#160,No,34,Prices: $2000 - $5000,Lifespan: 11-15 years
Lowchen,https://www.dogbreedslist.info//all-dog-breeds/lowchen.html,#161,Yes,-,Prices: $4000 - $8000,Lifespan: 12-15 years
Kooikerhondje,https://www.dogbreedslist.info//all-dog-breeds/kooikerhondje.html,#162,No,-,Prices: $3000 - $3500,Lifespan: 12-14 years
Affenpinscher,https://www.dogbreedslist.info//all-dog-breeds/affenpinscher.html,#163,Yes,37,Prices: $1800 - $2500,Lifespan: 12-14 years
Petit Basset Griffon Vendeen,https://www.dogbreedslist.info//all-dog-breeds/petit-basset-griffon-vendeen.html,#164,No,62,Prices: $1200 - $1600,Lifespan: 11-14 years
Finnish Lapphund,https://www.dogbreedslist.info//all-dog-breeds/finnish-lapphund.html,#165,No,-,Prices: $1000 - $2000,Lifespan: 12-15 years
Scottish Deerhound,https://www.dogbreedslist.info//all-dog-breeds/scottish-deerhound.html,#166,No,47,Prices: $1000 - $2500,Lifespan: 8-10 years
Plott Hound,https://www.dogbreedslist.info//all-dog-breeds/plott-hound.html,#167,No,-,Prices: $500 - $700,Lifespan: 12-14 years
Norwegian Buhund,https://www.dogbreedslist.info//all-dog-breeds/norwegian-buhund.html,#168,No,-,Prices: $2000 - $2500,Lifespan: 13-15 years
Glen of Imaal Terrier,https://www.dogbreedslist.info//all-dog-breeds/glen-of-imaal-terrier.html,#169,No,-,Prices: $1500 - $2200,Lifespan: 12-14 years
Irish Red and White Setter,https://www.dogbreedslist.info//all-dog-breeds/irish-red-and-white-setter.html,#170,No,-,Prices: $1800 - $2500,Lifespan: 11-13 years
Ibizan Hound,https://www.dogbreedslist.info//all-dog-breeds/ibizan-hound.html,#171,No,53,Prices: $2000 - $2500,Lifespan: 12-14 years
Sussex Spaniel,https://www.dogbreedslist.info//all-dog-breeds/sussex-spaniel.html,#172,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years
Bergamasco,https://www.dogbreedslist.info//all-dog-breeds/bergamasco.html,#173,Yes,-,Prices: $1000 - $2000,Lifespan: 13-15 years
Irish Water Spaniel,https://www.dogbreedslist.info//all-dog-breeds/irish-water-spaniel.html,#174,Yes,24,Prices: $1500 - $2000,Lifespan: 10-12 years
Polish Lowland Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/polish-lowland-sheepdog.html,#175,Yes,-,Prices: $2000 - $2500,Lifespan: 10-12 years
Otterhound,https://www.dogbreedslist.info//all-dog-breeds/otterhound.html,#176,No,46,Prices: $1500 - $2500,Lifespan: 10-12 years
